# Rank send_size recv_size exec_time late_time send_bw recv_bw
40 0 0 52.369000 1.087000 0.000000 0.000000
41 0 0 52.726000 1.358000 0.000000 0.000000
42 0 0 52.022000 1.415000 0.000000 0.000000
43 0 0 52.949000 1.434000 0.000000 0.000000
44 0 0 52.615000 0.473000 0.000000 0.000000
45 0 0 52.849000 0.507000 0.000000 0.000000
46 0 0 52.731000 0.598000 0.000000 0.000000
47 0 0 52.826000 0.524000 0.000000 0.000000
48 0 0 52.932000 1.284000 0.000000 0.000000
49 0 0 53.451000 1.026000 0.000000 0.000000
50 0 0 53.339000 1.125000 0.000000 0.000000
51 0 0 53.573000 1.302000 0.000000 0.000000
52 0 0 53.619000 0.475000 0.000000 0.000000
53 0 0 53.867000 1.438000 0.000000 0.000000
54 0 0 53.570000 1.299000 0.000000 0.000000
55 0 0 52.960000 1.338000 0.000000 0.000000
56 0 0 53.785000 0.583000 0.000000 0.000000
57 0 0 53.608000 1.424000 0.000000 0.000000
58 0 0 52.944000 0.474000 0.000000 0.000000
59 0 0 53.203000 0.914000 0.000000 0.000000
60 0 0 53.701000 1.300000 0.000000 0.000000
61 0 0 53.909000 1.492000 0.000000 0.000000
62 0 0 53.963000 1.495000 0.000000 0.000000
63 0 0 54.025000 0.761000 0.000000 0.000000
64 0 0 54.474000 0.629000 0.000000 0.000000
65 0 0 54.418000 0.641000 0.000000 0.000000
66 0 0 53.771000 0.741000 0.000000 0.000000
67 0 0 54.474000 1.493000 0.000000 0.000000
68 0 0 53.651000 0.600000 0.000000 0.000000
69 0 0 53.360000 1.186000 0.000000 0.000000
70 0 0 54.653000 0.320000 0.000000 0.000000
71 0 0 54.784000 1.368000 0.000000 0.000000
72 0 0 54.778000 0.482000 0.000000 0.000000
73 0 0 55.578000 0.599000 0.000000 0.000000
74 0 0 55.501000 1.394000 0.000000 0.000000
75 0 0 54.850000 1.300000 0.000000 0.000000
76 0 0 53.937000 0.631000 0.000000 0.000000
77 0 0 53.003000 1.395000 0.000000 0.000000
78 0 0 52.221000 1.358000 0.000000 0.000000
79 0 0 52.625000 1.011000 0.000000 0.000000
