# Rank send_size recv_size exec_time late_time send_bw recv_bw
40 0 0 46.013000 7.877000 0.000000 0.000000
41 0 0 46.009000 7.875000 0.000000 0.000000
42 0 0 46.027000 7.870000 0.000000 0.000000
43 0 0 46.024000 7.874000 0.000000 0.000000
44 0 0 46.006000 7.870000 0.000000 0.000000
45 0 0 46.023000 7.871000 0.000000 0.000000
46 0 0 46.025000 7.856000 0.000000 0.000000
47 0 0 46.025000 7.871000 0.000000 0.000000
48 0 0 46.430000 7.878000 0.000000 0.000000
49 0 0 46.443000 7.875000 0.000000 0.000000
50 0 0 46.445000 7.867000 0.000000 0.000000
51 0 0 46.448000 7.867000 0.000000 0.000000
52 0 0 46.447000 7.873000 0.000000 0.000000
53 0 0 43.814000 5.324000 0.000000 0.000000
54 0 0 42.310000 3.745000 0.000000 0.000000
55 0 0 42.265000 4.511000 0.000000 0.000000
56 0 0 43.277000 4.698000 0.000000 0.000000
57 0 0 46.450000 7.880000 0.000000 0.000000
58 0 0 46.497000 7.875000 0.000000 0.000000
59 0 0 46.498000 7.877000 0.000000 0.000000
60 0 0 46.490000 7.876000 0.000000 0.000000
61 0 0 46.495000 7.882000 0.000000 0.000000
62 0 0 46.493000 7.863000 0.000000 0.000000
63 0 0 41.793000 2.795000 0.000000 0.000000
64 0 0 39.204000 0.252000 0.000000 0.000000
65 0 0 39.096000 0.129000 0.000000 0.000000
66 0 0 39.917000 1.699000 0.000000 0.000000
67 0 0 46.716000 7.870000 0.000000 0.000000
68 0 0 46.713000 7.871000 0.000000 0.000000
69 0 0 46.720000 7.868000 0.000000 0.000000
70 0 0 46.730000 7.854000 0.000000 0.000000
71 0 0 46.727000 7.877000 0.000000 0.000000
72 0 0 46.727000 7.876000 0.000000 0.000000
73 0 0 42.203000 2.734000 0.000000 0.000000
74 0 0 39.726000 0.262000 0.000000 0.000000
75 0 0 40.263000 0.150000 0.000000 0.000000
76 0 0 41.121000 1.777000 0.000000 0.000000
77 0 0 47.735000 7.874000 0.000000 0.000000
78 0 0 47.492000 7.855000 0.000000 0.000000
79 0 0 47.145000 7.880000 0.000000 0.000000
