# Rank send_size recv_size exec_time late_time send_bw recv_bw
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
120 0 0 44.070000 7.871000 0.000000 0.000000
121 0 0 44.084000 7.868000 0.000000 0.000000
122 0 0 44.089000 7.865000 0.000000 0.000000
123 0 0 44.091000 7.871000 0.000000 0.000000
124 0 0 44.087000 7.867000 0.000000 0.000000
125 0 0 44.090000 7.869000 0.000000 0.000000
126 0 0 44.090000 7.862000 0.000000 0.000000
127 0 0 44.088000 7.873000 0.000000 0.000000
128 0 0 44.084000 7.874000 0.000000 0.000000
129 0 0 44.089000 7.869000 0.000000 0.000000
130 0 0 44.094000 7.863000 0.000000 0.000000
131 0 0 44.091000 7.868000 0.000000 0.000000
132 0 0 44.091000 7.870000 0.000000 0.000000
133 0 0 44.092000 7.867000 0.000000 0.000000
134 0 0 44.096000 7.861000 0.000000 0.000000
135 0 0 44.096000 7.874000 0.000000 0.000000
136 0 0 44.094000 7.878000 0.000000 0.000000
137 0 0 44.094000 7.871000 0.000000 0.000000
138 0 0 44.097000 7.871000 0.000000 0.000000
139 0 0 44.096000 7.872000 0.000000 0.000000
140 0 0 44.090000 7.870000 0.000000 0.000000
141 0 0 44.096000 7.870000 0.000000 0.000000
142 0 0 44.096000 7.863000 0.000000 0.000000
143 0 0 44.097000 7.879000 0.000000 0.000000
144 0 0 44.093000 7.876000 0.000000 0.000000
145 0 0 44.096000 7.872000 0.000000 0.000000
146 0 0 44.097000 7.872000 0.000000 0.000000
147 0 0 44.101000 7.872000 0.000000 0.000000
148 0 0 44.097000 7.873000 0.000000 0.000000
149 0 0 44.100000 7.872000 0.000000 0.000000
150 0 0 44.102000 7.863000 0.000000 0.000000
151 0 0 44.105000 7.876000 0.000000 0.000000
152 0 0 44.076000 7.875000 0.000000 0.000000
153 0 0 44.093000 7.867000 0.000000 0.000000
154 0 0 44.094000 7.862000 0.000000 0.000000
155 0 0 44.097000 7.869000 0.000000 0.000000
156 0 0 44.089000 7.867000 0.000000 0.000000
157 0 0 44.096000 7.870000 0.000000 0.000000
158 0 0 44.096000 7.866000 0.000000 0.000000
159 0 0 44.097000 7.872000 0.000000 0.000000
